,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
okc,@ uth,@ min,pho,dal,@ det,was,@ lac,@ gsw,@ mil,den,lac,uth,sas,gsw,min,@ sac,@ por,@ nor,ind,@ atl,@ mem,lal,orl,@ den,chi,@ sas,tor,@ nyk,@ cha,hou,por,bkn,@ min,bos,@ uth,@ den,mil,@ mem,@ hou,gsw,sac,por,@ sas,@ bos,@ phi,atl,@ mia,@ bkn,@ was,mem,min,@ orl,nyk,@ por,@ lal,mia,lac,cle,mem,cha,phi,@ pho,@ lal,hou,lal,dal,@ chi,@ cle,@ tor,den,@ dal,sac,uth,sas,@ hou,@ pho,@ sac,@ lac,nor,@ ind,@ nor,det
orl,@ ind,@ min,nor,bkn,lac,bos,@ atl,@ bos,mil,dal,mia,@ mia,pho,@ atl,phi,sas,@ was,@ phi,@ nyk,@ hou,@ mem,@ cha,cle,@ okc,@ chi,uth,sac,nyk,det,atl,gsw,@ cle,mia,@ lac,@ por,@ sac,@ den,@ dal,chi,cha,bos,@ bkn,atl,lal,@ nor,@ det,@ tor,mil,@ bos,@ ind,det,okc,ind,mem,@ mil,@ cle,nyk,@ tor,@ was,@ phi,@ mia,phi,hou,@ sas,@ mil,den,was,@ gsw,@ pho,@ uth,@ lal,por,cha,tor,cle,@ cha,min,bkn,was,@ bkn,@ chi,ind
phi,mia,@ was,chi,gsw,was,cle,@ cle,sas,hou,@ atl,@ nor,@ dal,tor,mil,@ ind,@ orl,nor,@ det,orl,@ cha,den,lac,@ min,@ tor,por,@ bkn,bkn,@ mil,@ pho,@ lal,@ den,@ sac,@ por,min,@ cle,det,nyk,cha,mia,@ chi,@ was,@ nyk,tor,okc,pho,@ bos,atl,@ det,@ bkn,bos,lal,@ lac,@ gsw,@ uth,cle,dal,mil,orl,was,@ orl,@ okc,uth,@ nyk,sac,ind,mem,@ ind,chi,nyk,@ chi,@ sas,@ hou,det,@ atl,cha,@ bos,bkn,@ tor,@ mem,@ cha,bos,@ mia
phx,por,uth,@ okc,@ nor,@ sas,den,nor,@ por,bkn,@ sac,sac,@ cha,@ orl,@ mia,por,@ uth,uth,@ mem,@ hou,tor,@ lal,sac,gsw,sas,@ den,dal,lal,@ gsw,phi,@ lac,mem,mil,@ chi,@ min,@ mem,@ det,@ nyk,lal,dal,den,ind,was,@ cle,@ phi,@ mil,@ ind,cha,chi,@ hou,gsw,mia,@ den,bos,sas,hou,min,@ uth,nor,atl,lac,okc,@ gsw,@ lac,cle,@ bos,@ tor,@ bkn,orl,det,@ min,@ atl,@ was,nyk,@ lal,lac,@ por,okc,@ nor,@ sas,@ dal,mem,@ sac
por,@ pho,@ den,sas,hou,sac,@ sac,det,pho,@ bos,@ tor,@ bkn,@ mil,chi,@ gsw,nyk,@ pho,@ lal,ind,okc,uth,dal,@ uth,hou,@ phi,@ det,@ cle,@ min,nor,lac,mia,@ nor,@ okc,cha,phi,@ sac,orl,bos,cle,@ sas,@ dal,@ hou,@ okc,den,min,@ gsw,mem,tor,@ was,@ nyk,@ ind,@ min,okc,@ lac,sas,uth,min,@ den,bkn,den,lal,atl,@ dal,@ hou,@ mem,@ sas,@ nor,gsw,mil,was,@ cha,@ mia,@ orl,@ atl,@ chi,mem,@ lal,pho,nor,sac,@ uth,gsw,lac
sac,den,lac,@ gsw,atl,@ por,por,bkn,det,mem,pho,@ pho,@ lac,@ lal,lac,gsw,okc,lal,@ uth,dal,uth,@ pho,hou,@ cha,@ atl,@ mia,@ orl,nor,mia,@ sas,@ hou,phi,cha,por,orl,cle,@ ind,@ min,@ mem,@ okc,@ nor,@ hou,ind,den,@ uth,mem,@ dal,@ sas,chi,tor,@ bos,@ was,@ cle,@ nyk,gsw,bos,@ den,hou,@ lal,min,nor,@ mil,@ tor,@ bkn,@ det,@ phi,@ chi,@ min,was,sas,mil,nyk,@ okc,@ dal,@ nor,lal,@ gsw,dal,okc,@ por,@ lac,min,pho
sas,mem,@ lal,@ por,@ den,pho,gsw,@ nyk,@ phi,was,@ uth,bos,@ mem,cle,nor,@ okc,@ orl,hou,atl,@ min,ind,@ tor,@ mil,min,@ uth,@ lac,@ pho,@ gsw,okc,tor,hou,@ dal,sac,bkn,nyk,lac,@ mem,dal,min,@ nor,uth,por,mil,okc,@ atl,@ mia,@ hou,chi,sac,@ nor,@ was,@ bkn,@ cha,@ det,@ bos,@ lac,@ por,@ pho,det,cha,dal,@ cle,mia,orl,@ chi,por,lal,uth,@ lal,@ sac,@ gsw,phi,den,@ den,nor,@ ind,gsw,@ okc,mem,@ dal,pho,@ hou,lal
tor,bos,@ atl,@ mil,mia,@ cha,@ ind,uth,@ hou,@ mem,chi,por,@ phi,was,bkn,mia,den,@ gsw,@ pho,@ lal,sas,phi,@ chi,cha,@ dal,@ okc,@ sas,@ nyk,nyk,@ chi,ind,@ was,@ mia,@ ind,det,bkn,mil,@ bos,min,lal,@ cha,dal,@ phi,lac,@ bkn,orl,@ den,@ por,@ uth,@ sac,@ lac,nor,atl,@ was,chi,cle,orl,@ cle,was,gsw,sac,@ min,@ bkn,det,mem,pho,@ atl,@ nor,okc,atl,@ cle,@ bos,bos,@ orl,@ mia,hou,ind,@ mil,phi,nyk,@ det,mil,@ nyk
uta,okc,@ pho,hou,@ bkn,@ bos,@ chi,@ tor,den,nor,sas,@ gsw,gsw,@ nor,@ dal,@ okc,chi,pho,@ pho,hou,ind,@ por,sac,por,@ sac,@ den,sas,@ mia,@ orl,@ atl,@ cha,@ mem,lal,@ lac,cha,mil,@ lal,okc,cle,den,@ sas,@ det,@ min,min,was,sac,gsw,@ lac,tor,@ dal,mia,@ lal,phi,bkn,@ por,min,bos,pho,@ cle,@ ind,@ mil,@ was,@ nyk,@ phi,atl,dal,lac,@ sas,@ hou,@ mem,orl,det,mem,@ nor,@ okc,nyk,nor,@ gsw,dal,por,@ den,lal,@ min
was,@ det,phi,@ mia,@ phi,bkn,@ okc,@ dal,@ sas,cle,min,@ cle,@ tor,nyk,lal,@ mil,@ ind,atl,orl,mil,den,@ atl,lac,@ nyk,@ bkn,@ bos,@ min,det,@ det,dal,tor,gsw,@ cha,@ nor,@ ind,hou,@ chi,mia,chi,det,phi,bos,@ pho,@ uth,@ gsw,@ lac,okc,por,sas,cle,sac,@ mem,@ hou,tor,@ atl,nor,@ cle,orl,@ tor,@ phi,mem,uth,@ mil,@ mia,cha,@ orl,bkn,@ sac,@ por,@ lal,@ den,pho,ind,atl,@ cha,bos,@ nyk,chi,cha,@ orl,mil,mia,@ bos
